timestamp,avg_rtt_us,p95_rtt_us,min_rtt_us,max_rtt_us,retrans_count,rtt_samples,rolling_avg_rtt_us,rolling_p95_rtt_us,label
1764819423,100156,273861,3733,278414,0,38,100156,273861,0
1764819424,103906,272586,3733,277184,0,58,102031,273223,0
1764819424,112901,282116,3123,288837,0,76,105654,276187,0
1764819425,96240,283647,2553,287061,0,72,103300,278052,0
1764819425,88962,277511,2657,284878,0,61,100433,277944,0
1764819426,116020,282089,2552,289183,0,76,103030,278635,0
1764819426,83826,244969,2641,275864,0,64,100287,273825,0
1764819427,87314,263164,377,283056,0,109,98665,272492,0
1764819427,112190,276688,4011,279918,0,99,100168,272959,0
1764819428,91396,244010,4369,278936,0,84,99291,270064,0
1764819428,96372,276763,3803,281377,0,61,99025,270673,0
1764819429,111366,281037,2910,283644,0,78,100054,271536,0
1764819429,78310,252115,19,282665,0,81,98381,270042,0
1764819430,68169,246054,2621,248017,0,81,96223,268329,0
1764819430,61252,244794,3961,286103,0,400,93892,266760,0
1764819431,76316,272420,3481,273569,0,175,92793,267114,0
1764819431,90506,244128,3253,272962,0,52,92658,265761,0
1764819432,99422,277149,19,280531,0,101,93034,266394,0
1764819432,98135,276831,3288,280355,0,59,93303,266943,0
1764819433,71054,260316,19,280217,0,69,92190,266612,0
1764819433,112503,280073,2095,281339,0,43,93157,267253,0
1764819434,122358,278091,19,285179,0,54,94485,267746,0
1764819434,90215,270473,19,280387,0,57,94299,267864,0
1764819435,59704,252530,19,281756,0,119,92858,267225,0
1764819435,103443,277029,19,285548,0,98,93281,267617,0
1764819436,96726,252091,1661,276832,0,96,93413,267020,0
1764819436,110602,267429,19,273210,0,42,94050,267035,0
1764819437,95668,274395,19,281593,0,76,94108,267298,0
1764819437,82448,274167,22,274644,0,42,93706,267535,0
1764819438,97898,272346,16,276989,0,41,93845,267695,0
1764819438,84660,278678,16,279150,0,52,93329,267856,0
1764819439,56122,278224,19,279660,0,73,91736,268044,0
1764819439,79711,258269,16,280066,0,77,90630,267249,0
1764819440,96366,280556,17,284407,0,115,90634,267146,0
1764819440,88382,280232,17,283850,0,123,90615,267237,0
1764819441,85654,249540,20,285010,0,118,89602,266152,0
1764819441,91607,265734,19,288054,0,116,89862,266844,0
1764819442,76194,245869,19,285271,0,127,89491,266267,0
1764819442,90814,277005,19,284587,0,143,88779,266278,0
1764819443,85179,244781,17,277730,0,120,88571,266303,0
1764819443,78241,238757,16,278943,0,130,87967,265037,0
1764819444,85875,275560,16,281593,0,119,87117,264854,0
1764819444,85669,250556,21,281754,0,122,87363,264802,0
1764819445,84264,268468,16,280497,0,125,87899,265549,0
1764819445,73881,248262,19,279520,0,107,88320,265665,0
1764819446,96364,279309,19,284932,0,142,88988,265894,0
1764819446,86756,277384,19,281453,0,138,88863,267003,0
1764819447,77468,240458,15,271816,0,124,88132,265780,0
1764819447,88497,272950,19,282336,0,137,87810,265651,0
1764819448,92769,273806,17,279046,0,131,88534,266100,0
1764819448,79818,247209,19,276834,0,120,87445,265005,0
1764819449,80743,241926,19,282481,0,123,86057,263799,0
1764819449,76589,239775,18,281685,0,123,85603,262776,0
1764819450,90358,278813,16,287875,0,124,86625,263652,0
1764819450,84341,256568,18,284741,0,121,85988,262970,0
1764819451,80562,273399,16,282632,0,127,85450,263680,0
1764819451,85073,277234,17,288454,0,137,84599,264007,0
1764819452,84486,273938,17,282069,0,137,84226,263992,0
1764819452,76803,240820,19,275915,0,133,84038,262880,0
1764819453,84441,249781,16,280095,0,137,83589,262128,0
1764819453,94883,243736,19,278327,0,111,83930,260963,0
1764819454,92144,271671,19,280833,0,92,85131,260745,0
1764819454,95206,279226,1830,297246,0,75,85647,261444,0
1764819455,90714,278639,19,294869,0,52,85459,261380,0
1764819455,99051,283674,19,290985,0,33,85814,261494,0
1764819456,110465,281226,19,284308,0,52,86641,262551,0
1764819456,88017,279318,19,290985,0,40,86522,263003,0
1764819457,82661,281810,19,283658,0,58,86737,264201,0
1764819457,88651,278462,19,284263,0,54,86665,264250,0
1764819458,108097,278417,19,278462,0,40,87429,265371,0
1764819458,102515,279358,19,281802,0,37,88238,266725,0
1764819459,117715,283414,19,283414,0,39,89300,266986,0
1764819459,113012,278245,19,278333,0,31,90211,267909,0
1764819460,121002,277790,19,285576,0,22,91436,268220,0
1764819460,131568,276839,19,281721,0,23,93358,269173,0
1764819461,149869,280291,19,283200,0,22,95142,269205,0
1764819461,131824,279809,19,280055,0,19,96644,269286,0
1764819462,126382,276610,19,277213,0,30,98275,270491,0
1764819462,61737,281484,19,284572,0,81,97383,270776,0
1764819463,68762,276261,19,276689,0,40,96582,270858,0
1764819463,140042,281374,93,281401,0,16,98590,271996,0
1764819464,117582,276226,19,276604,0,29,99818,273140,0
1764819464,81422,271011,19,281261,0,32,99979,274181,0
1764819465,108063,274539,19,281589,0,50,100569,274039,0
1764819465,156240,281281,19,281281,0,36,102966,274862,0
1764819466,62225,255934,19,256352,0,17,102355,274280,0
1764819466,132155,280997,19,280997,1,25,103924,274406,0
1764819467,109956,277166,19,279041,0,32,104773,274513,0
1764819467,121313,278941,19,278951,0,25,106257,275784,0
1764819468,144398,297391,19,302172,0,23,108255,277371,0
1764819468,145322,296722,19,299257,0,23,109937,279137,0
1764819469,67587,281080,19,296722,0,33,109118,279451,0
1764819469,74608,278443,19,279536,0,21,108431,279425,0
1764819470,92921,278333,19,299514,0,33,108505,279414,0
1764819470,95243,274616,19,277889,1,58,108378,279112,0
1764819471,112629,276209,19,283326,0,89,108450,278945,0
1764819471,140503,275949,19,277694,0,35,110200,278833,0
1764819472,106254,277987,19,282903,0,36,110986,278705,0
1764819472,76439,276736,19,282681,0,22,110579,278648,0
1764819473,132927,282165,19,282165,0,25,111407,278773,0
1764819473,85475,272977,19,276374,0,16,110839,278560,0
1764819474,95036,271749,19,271783,0,20,110083,278171,0
1764819474,129524,280229,19,281242,0,51,110633,278237,0
1764819475,93055,275766,19,279788,0,88,109702,278170,0
1764819475,63676,250469,19,252053,0,17,107438,277291,0
1764819476,169653,284236,19,284422,0,28,108098,277423,0
1764819476,99488,276680,2412,277845,0,25,107020,277318,0
1764819477,95318,274684,19,276643,0,65,105985,277254,0
1764819477,149569,279545,19,282893,0,37,108912,277189,0
1764819478,161312,283578,19,283578,0,41,111997,277433,0
1764819478,79533,258760,2986,258760,0,24,109980,276679,0
1764819479,108630,278290,19,281597,0,50,109682,276748,0
1764819479,100597,273860,19,282904,0,38,110321,276843,0
1764819480,68607,269387,19,269462,0,40,109006,276672,0
1764819480,129189,278762,19,278813,0,21,108104,276588,0
1764819481,126202,278701,19,278802,1,24,110237,277346,0
1764819481,164326,278194,2109,278676,2,15,111309,277253,0
1764819482,90018,278535,19,278639,2,45,110645,277299,0
1764819482,120185,278537,19,283665,1,22,110607,277285,0
1764819483,65344,276916,19,282900,2,58,107972,276603,0
1764819483,84253,280077,19,283492,1,36,105936,276048,0
1764819484,126322,283492,19,283492,1,30,107894,276128,0
1764819484,170659,279303,19,280059,1,16,111096,276157,0
1764819485,90040,275751,19,283884,0,89,111000,276071,0
1764819485,107226,277954,19,283884,1,52,111399,276182,0
1764819486,122480,277043,19,279377,2,18,111728,276210,0
1764819486,78991,243033,19,285051,1,40,109677,275113,0
1764819487,105518,273143,19,283221,0,33,109653,274951,0
1764819487,95596,282272,19,282876,1,45,110291,275136,0
1764819488,96989,275836,2595,275915,1,53,109093,274925,0
1764819488,70764,274848,19,276298,1,80,108603,274987,0
1764819489,117116,278477,19,278537,4,40,109339,275211,0
1764819489,98236,276299,19,280885,2,67,108296,275080,0
1764819490,92077,269688,19,278641,0,45,108263,274878,0
1764819490,72616,275188,19,283519,5,53,108561,275702,0
1764819491,102766,276201,19,280863,2,51,106332,275434,0
1764819491,130806,276148,19,276182,1,23,107376,275416,0
1764819492,100533,271359,606,276135,2,16,107550,275305,0
1764819492,105107,280030,15,281111,1,49,106067,275322,0
1764819493,156864,286911,335,300954,0,33,105919,275433,0
1764819493,81007,275359,240,275359,1,35,105968,275986,0
1764819494,109443,277777,19,284933,0,53,105995,275969,0
